City: Kyiv
Latitude: 50.4375
Longitude: 30.5

Daily Data:
Today is 2023-05-08
Best sunrise was at 2023-05-08T05:19
and best sunset will at 2023-05-08T20:29

Hourly Data:
    Time  Temperature     Humidity   CloudCover
   00:00          8.1           43%        88.00%
   01:00          7.5           46%        79.00%
   02:00          7.1           47%        88.00%
   03:00          6.7           47%        99.00%
   04:00          6.3           48%       100.00%
   05:00          5.9           49%       100.00%
   06:00          5.7           49%       100.00%
   07:00          6.0           49%       100.00%
   08:00          6.7           46%       100.00%
   09:00          7.7           44%       100.00%
   10:00          8.9           42%       100.00%
   11:00         10.6           37%        98.00%
   12:00         11.8           32%        96.00%
   13:00         12.5           29%        99.00%
   14:00         12.7           29%        95.00%
   15:00         12.7           28%        85.00%
   16:00         12.8           28%        91.00%
   17:00         12.6           30%        99.00%
   18:00         12.2           29%        98.00%
   19:00         11.6           32%        99.00%
   20:00         10.9           33%        98.00%
   21:00         10.1           37%        90.00%
   22:00          9.2           41%        98.00%
   23:00          8.5           43%        89.00%
